,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,1,1,50.57831797686728,1.0383389357608508,1.151613011013208,-0.17888304508203098,0.15878290461871442,-0.15649896257712884,0.0029653027365891785,12.087677725118484,0.11163912691376783,0.0019903718891397157,409.65989391628324,-394.53388465694184,2580,5101,2.0,1.0
1,2,1,65.6733202136632,1.0306087384644376,1.1318280795311757,-0.08664560716756245,0.20581192416922112,-0.38206203711499803,0.004014311931933645,8.428909952606634,0.23036201756980756,0.0032616361139169033,480.77665485930055,-466.49774731741263,2336,3557,2.0,0.5
2,3,1,75.809199318569,1.1204414859000562,1.611127172108418,-0.05784721346655745,0.20926291359800706,-0.58529491843979,0.01705301215104422,6.954976303317536,0.3427904075267747,0.003997571805312281,465.60998275556574,-415.55939209225096,2225,2935,2.0,0.3333333333333333
3,4,1,80.70686070686071,1.1178345425112137,1.5004478471274563,-0.039058020348645986,0.21165528983980827,-0.7920619601997341,0.01800672268041214,5.699052132701421,0.5074484727151045,0.004745239984304223,410.82291757906785,-367.5167495326766,1941,2405,2.0,0.25
4,5,1,84.34026099565007,1.1414465106140574,1.5479359813862803,-0.032486399075484194,0.21551491250532948,-1.0168857998281178,0.022524177466162303,4.902843601895735,0.6087088377936404,0.0052764082024312955,376.07352232179994,-329.47099914431016,1745,2069,2.0,0.2
5,6,1,87.02290076335878,1.1395651355021144,1.4539232024400448,-0.02434394321408973,0.22420954181499939,-1.3193829496685594,0.023896012385835226,4.035545023696683,0.8117435906893012,0.0061531897431831755,332.2785409698291,-291.58363187675167,1482,1703,2.0,0.16666666666666666
6,7,1,89.15416098226466,1.1605766612292145,1.4668454222474234,-0.020196602234207557,0.2310819599961109,-1.6367059941300006,0.02850468529894053,3.4739336492890995,0.976151974395912,0.006828977993361447,302.02412171491693,-260.2362530666701,1307,1466,2.0,0.14285714285714285
7,8,1,90.00805801772765,1.1406303656765924,1.3409829110857407,-0.01705376430020507,0.23918285210954615,-1.8889331967560787,0.026542731191466017,2.940758293838863,1.1571974574462738,0.007540384225727511,267.16724580636304,-234.22771639775374,1117,1241,2.0,0.125
8,9,1,91.53908138597905,1.163275593080921,1.3859276490460715,-0.013687889499875143,0.23023790829806356,-2.141328253083523,0.02958162550590666,2.940758293838863,1.4395341038602534,0.007998198722335193,261.5502638266002,-224.83946657376995,1136,1241,2.0,0.1111111111111111
9,10,1,92.07920792079209,1.082032700386546,1.1504143860110938,-0.01214513072110437,0.21803331794092262,-2.3424775611289292,0.015220575044300657,2.8720379146919433,1.6342182480644567,0.008431816607500697,243.32518282206962,-224.8778458683772,1116,1212,2.0,0.1
10,1,2,34.50528935905414,1.0898982989097157,1.3062018504614155,-0.17904255022722768,0.3070902080554272,-0.14844290331374818,0.008740114890488142,7.61611374407583,0.11121713149094171,0.0029370865416423206,340.56304073346877,-312.4723114754399,1109,3214,2.0,2.0
11,2,2,51.41423357664233,1.1076719442918368,1.515641090982649,-0.0897797915636902,0.4018619712501776,-0.3839194039955107,0.020084067675059877,5.194312796208531,0.22053024381554492,0.0047218847189630046,452.8984415989501,-408.8741652552189,1127,2192,2.0,1.0
12,3,2,60.69651741293532,1.0538739140946929,1.1968098354165428,-0.0537018710793804,0.41905304155796624,-0.6140632145492918,0.01300237373471552,3.81042654028436,0.37000528777259317,0.006047787563861775,408.995768560575,-388.08795159515245,976,1608,2.0,0.6666666666666666
13,4,2,67.8601165695254,1.1043417199141357,1.366272904175326,-0.03795960007881065,0.4466320760471819,-0.8539191135585951,0.02863643975423442,2.845971563981043,0.5193320151300004,0.007267727063134742,364.00514197845325,-329.6127778336177,815,1201,2.0,0.5
14,5,2,74.24714434060229,1.1774666340861866,1.5876327855355008,-0.027406444346968737,0.4605258631156165,-1.1276122280430962,0.05153495282759909,2.2874109263657956,0.7109514180331492,0.008369144534617087,329.2759921276658,-279.64783255468785,715,963,2.0,0.4
15,6,2,77.15976331360946,1.2228231925934963,1.6917070973191972,-0.025060708176878776,0.47107912617440056,-1.301429001169269,0.06623407460359797,2.007125890736342,0.7716325938388728,0.008913092494549055,307.1435902657092,-251.17579722566896,652,845,2.0,0.3333333333333333
16,7,2,79.97275204359673,1.1680652889866172,1.4294270359437995,-0.020375406968040497,0.46561476264889684,-1.5917702723995004,0.05357716026181999,1.7393364928909953,0.9552804725771656,0.009841474347153533,273.31586567490245,-233.99023004272658,587,734,2.0,0.2857142857142857
17,8,2,81.78571428571428,1.2127130324516964,1.4533566880196713,-0.017990980702374742,0.5072411802735515,-1.8781132036477237,0.07276591748789075,1.330166270783848,1.0712223610232219,0.010872193448748898,232.31646056528658,-191.56754677206783,458,560,2.0,0.25
18,9,2,83.96825396825398,1.1836326797918986,1.4194610939444343,-0.014633421062093267,0.4779579165376968,-2.11498362947685,0.06226411312901556,1.4928909952606635,1.3241851503135775,0.011437015400863443,252.83973784844162,-213.61334657716182,529,630,2.0,0.2222222222222222
