Ticker,Timeframe,Risk,Reward,Win Rate (%),Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk:Reward Ratio,Profit Factor
META,30min,1,1,48.271186440677965,0.7642637762940458,-0.08170534893258322,0.5349630372226996,-0.531097445343654,-0.01649740223365819,1.5020366598778003,0.24680114932224476,0.0058801990919998305,380.8936825025621,-405.227350797208,712,1475,1.0,0.9399505777515412
META,30min,2,1,67.04845814977973,0.9559297687573822,-0.0386276846373261,0.5248030269475362,-1.069415528360809,-0.0005165674888700909,1.1569826707441386,0.5178970953790387,0.008291085993731483,399.37510350707504,-399.9614076069426,761,1135,0.5,0.9985340983186964
META,30min,3,1,76.1443661971831,0.9302450799536531,-0.01624419792734664,0.5075427760786484,-1.6197080751968094,7.360293106999036e-05,1.1568228105906313,1.2311635243634353,0.011142337356260587,439.02450130803084,-438.94088837833533,865,1136,0.3333333333333333,1.0001904879037458
META,30min,4,1,80.55260361317748,0.6233485385934538,-0.010335242551454765,0.4979744336372975,-2.265276860446742,-0.03940599868722883,0.9592252803261978,1.973254123968447,0.014213523675457106,377.4646206970715,-414.5456654617538,758,941,0.25,0.9105501568243911
META,30min,5,1,84.5213849287169,0.6757195984727714,-0.007571772226601419,0.44677536835004383,-2.611380559766516,-0.02658481604274335,1.0,2.676499973048415,0.015480215660244935,370.8235557305364,-396.92984508451036,830,982,0.2,0.9342294622657672
META,30min,6,1,86.79245283018868,0.7825520790318614,-0.005459622525826415,0.4629383153216142,-3.1427887521016746,-0.01328978792297111,0.7556008146639511,3.687598874096561,0.018287363329712248,298.13227506711956,-307.9932977059641,644,742,0.16666666666666666,0.9679829960187684
META,30min,7,1,89.01098901098901,0.7806768141512449,-0.003754062358667642,0.4543906514800378,-3.8046455662034386,-0.013635306507157361,0.5588536335721597,5.363883479074169,0.02231502792461841,220.83385661929836,-228.27873397220634,486,546,0.14285714285714285,0.9673868992377782
META,30min,8,1,91.16945107398568,0.8210983565062154,-0.00257778605369577,0.47115548045840877,-4.810498991405794,0.004756398217417175,0.428863868986694,7.740144295225756,0.027432766828150296,179.98139353511215,-177.98846268201436,382,419,0.125,1.0111969664947231
META,30min,9,1,92.80397022332507,0.8650654880771741,-0.002058994569946721,0.4373797416588204,-5.231566741033916,0.029440664740484512,0.4108053007135576,9.570493113590416,0.029381494299484657,163.5800233803988,-151.71543548998358,374,403,0.1111111111111111,1.078202905670719
META,30min,10,1,93.55555555555556,0.7973024360113966,-0.0018479708885344131,0.42012589206742784,-5.681794457312124,0.02689102510741237,0.46059365404298874,10.677164814308405,0.03076527102854461,176.87300056038714,-164.7720392620516,421,450,0.1,1.073440623497354
META,30min,1,2,36.954503249767875,1.8215980107583951,-0.08520543515921603,1.0676913715007574,-0.5318917062863784,0.05922627417720576,1.1023541453428864,0.22777581291571816,0.008423395657017621,424.9411658573015,-361.15446856845097,398,1077,2.0,1.1766188787354317
