,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,1,1,50.4169173901831,1.0651674255621546,2.125951054979769,-0.16010644661500742,0.22026645657721944,-0.21026803372784308,0.006794184585506128,27.963942307692307,0.12449253965440656,0.002492291873191322,1291.862767825392,-1212.8260185421989,5865,11633,2.0,1.0
1,2,1,66.72935866089901,1.037058675239214,1.6488714526368864,-0.08005473969194989,0.22393690845838765,-0.43308997177245606,0.005339851635298993,25.19905213270142,0.24916203038572607,0.0035652795797824384,1589.056302420719,-1532.2723201309493,7096,10634,2.0,0.5
2,3,1,75.08070301291248,1.0492071132480083,2.0608900910696537,-0.05274208367764144,0.20825776268845556,-0.5980431448664073,0.007333244925277293,26.42654028436019,0.37781343021141567,0.004110158986532732,1743.7422469904384,-1661.961899583746,8373,11152,2.0,0.3333333333333333
3,4,1,80.79781729231348,1.1490051583132619,9.563407283650537,-0.03820491482077743,0.21329686537629547,-0.781108791210385,0.022349274342951343,25.187203791469194,0.5176430139772277,0.004681541110910049,1831.7934798516255,-1594.243042860396,8588,10629,2.0,0.25
4,5,1,84.50301056164248,1.2286941891532905,29.024427480726096,-0.029321678169875597,0.2201886204167313,-0.9771830173452283,0.03463206417487197,24.007109004739338,0.6702781213403743,0.005228713021832699,1885.0347793876367,-1534.1773372320083,8561,10131,2.0,0.2
5,6,1,86.85908717587704,1.229894603526035,19.444579857596406,-0.022455668402010978,0.22554175142414745,-1.2121288257764946,0.03661871417614563,20.196682464454977,0.8743366043150277,0.0059503621462954695,1669.6855857929634,-1357.5842848696739,7403,8523,2.0,0.16666666666666666
6,7,1,87.16662867563255,1.110077833545043,4.241050002056811,-0.020313603853129154,0.21395773689560446,-1.3091338538221704,0.018493737448577484,20.791469194312796,0.97545776558313,0.006313994027680289,1636.348771777583,-1474.084719403764,7648,8774,2.0,0.14285714285714285
7,8,1,89.3826844262295,1.1701968539495775,7.366974376483627,-0.01667947742507758,0.21483220296239944,-1.5455359927850498,0.02792835635960291,18.502369668246445,1.1823341903238462,0.006787035427669117,1499.3139444745857,-1281.2493380188062,6979,7808,2.0,0.125
8,9,1,90.39087947882736,1.1372349332931342,5.556628132121861,-0.01432327643779263,0.22400348845246892,-1.8528726101209112,0.024433961065124587,18.914691943127963,1.3792696437263843,0.007589771204962624,1616.1851691845634,-1421.1532919627389,7215,7982,2.0,0.1111111111111111
9,10,1,91.31886477462437,1.1295799795788979,4.552683759488809,-0.012762147606355523,0.20030863750692918,-1.8653772385299325,0.020983653276684097,19.872037914691944,1.5506922563235124,0.007525085652699137,1533.9635460280638,-1357.9946296497908,7658,8386,2.0,0.1
10,1,2,34.546539379474936,1.0888468789135135,3.500904455192467,-0.16195303564270488,0.466608261388004,-0.22618174448385034,0.013153227711736572,23.885985748218527,0.12268042796502901,0.003724862043159063,1620.997100061926,-1488.728242192703,3474,10056,2.0,2.0
11,2,2,50.87644746627005,1.0809872400853888,4.5204719981382455,-0.0797660371460619,0.4548160941974045,-0.4357548889144227,0.01733598945831078,22.305687203791468,0.24855992368170127,0.005114873155624962,2178.11427511137,-2014.9306063402908,4789,9413,2.0,1.0
12,3,2,61.41328090869376,1.0943398857675604,6.569389294854146,-0.05102606676280554,0.42167211780105435,-0.6132634796031783,0.022324426054751018,21.696682464454977,0.38758142639887677,0.005930764937461006,2371.062318395329,-2166.6598734380286,5623,9156,2.0,0.6666666666666666
13,4,2,69.5243757431629,1.22352347465804,82.73572420946162,-0.036680600090399224,0.43169067826769353,-0.8049054208303109,0.05483029753188079,20.071599045346062,0.5302993128995312,0.006783555190365492,2524.095395831204,-2062.9725935880865,5847,8410,2.0,0.5
14,5,2,72.91340227723808,1.2417476248966002,232.04480613246255,-0.03002972586144912,0.41933804342055536,-0.9090417555058841,0.05952515105491685,22.8472553699284,0.6461846697828774,0.007200334906070742,2926.979543075476,-2357.145272026757,6980,9573,2.0,0.4
15,6,2,76.23848238482384,1.2449629831736018,219.30352945518098,-0.024296085527731503,0.4098447155447663,-1.0562408717878191,0.061480530457175254,22.01670644391408,0.7978731665766498,0.007747220286235882,2882.4378844263415,-2315.2799909589,7033,9225,2.0,0.3333333333333333
16,7,2,80.17769240004803,1.306308901430691,579.4740270351264,-0.018808884363631387,0.4269084896165151,-1.321868479020946,0.08026053965608185,19.878281622911693,1.0206556769820443,0.00871141764181324,2850.8948936590878,-2182.404858863582,6678,8329,2.0,0.2857142857142857
17,8,2,81.70014426811674,1.3080969339167368,746.4983883277989,-0.01832032544318175,0.4009297303708942,-1.3683698345783721,0.07715046252034044,21.505966587112173,1.0495717139104008,0.008548764368513618,2951.644674990523,-2256.4418572197355,7362,9011,2.0,0.25
18,9,2,84.14333706606942,1.312253040419008,959.8323392260302,-0.015644062976314117,0.4060536291446072,-1.6420022431982293,0.08130031276863221,21.466346153846153,1.226471467250147,0.00927064323443847,3051.0869693925783,-2325.0751763686926,7514,8930,2.0,0.2222222222222222
19,10,2,85.90485184747963,1.3194861377853848,893.1376972735407,-0.013722319768049544,0.40980760233298597,-1.8928806290902913,0.08524028462322404,20.36298076923077,1.3953615334303897,0.009890950843580867,2982.169922177139,-2260.099471133808,7277,8471,2.0,0.2
20,1,3,26.096491228070175,1.1113828555230802,5.421706636658499,-0.15996484941211728,0.6831983749419906,-0.2170701929186606,0.017868314922167276,23.828978622327792,0.12391045235014532,0.0045205122281988235,1788.6133455981317,-1609.3584102989496,2618,10032,2.0,3.0
