,Probability Threshold,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,0.5,8,10,43.859649122807014,1.027322413811025,0.9934342269548911,-0.017225215160551244,2.720546931031337,-2.068899949319321,0.031734647325704794,0.3,1.1426651767938245,0.02763049689869771,136.02734655156686,-132.40959675643654,50,114,2.0,1.25
1,0.51,8,10,43.39622641509434,1.0134932983627902,0.9765748015817938,-0.017269506144031395,2.747447478230405,-2.0783328349376458,0.01587371605980966,0.2789473684210526,1.148918948458717,0.027910926144755915,126.3825839985986,-124.69997009625875,46,106,2.0,1.25
2,0.52,8,10,46.73913043478261,1.1722116006782872,1.1482476210717982,-0.015911567863133337,2.7536090725781412,-2.0614302486410154,0.18907726018967752,0.24210526315789474,1.1381170953028334,0.028111325012813847,118.40519012086008,-101.01008218340975,43,92,2.0,1.25
3,0.53,8,10,45.88235294117647,1.1251506681223387,1.0894525974106513,-0.018151931181062664,2.6746360460017407,-2.0153978281848723,0.13650006703016204,0.2236842105263158,1.026612493393523,0.026994155797438236,104.31080579406789,-92.70830009650413,39,85,2.0,1.25
4,0.54,8,10,46.34146341463415,1.1530311421062593,1.1124329312768158,-0.0176443424226967,2.704868837195206,-2.0259843826952824,0.1663622314003092,0.2706270627062706,1.039221368908031,0.02725852959725546,102.78501581341781,-89.14331283859244,38,82,2.0,1.25
5,0.55,8,10,47.43589743589743,1.1657701776309717,1.11984628601799,-0.017792670250930093,2.7078013491808206,-2.096146954765267,0.1826490355681333,0.25742574257425743,1.021404285473602,0.02767187321939843,100.18864991969036,-85.94202514537595,37,78,2.0,1.25
6,0.56,8,10,48.0,1.2224002046604472,1.162867253458689,-0.017091285490123544,2.736988461953464,-2.0667952102141784,0.23902095242629012,0.24752475247524752,1.0303373895376788,0.027759644177143168,98.53158463032472,-80.60501319835296,36,75,2.0,1.25
7,0.57,8,10,50.0,1.3602544768552534,1.2393988279912669,-0.015409561685575354,2.8384823755534407,-2.086728934806136,0.3758767203736525,0.21993127147766323,1.0539711075277785,0.028647770779155847,90.8314360177101,-66.77532591379635,32,64,2.0,1.25
8,0.58,8,10,48.38709677419355,1.2283129945006983,1.138022651834469,-0.01664279039301702,2.734033351064509,-2.086728934806136,0.24589797771191801,0.21305841924398625,1.0539711075277785,0.0275871121025198,82.02100053193527,-66.77532591379635,30,62,2.0,1.25
9,0.59,8,10,50.0,1.3559665895407804,1.2075999753028646,-0.015195671210127795,2.7661566457352937,-2.039988792549894,0.3630839265927004,0.19931271477663232,1.0772252510414335,0.027672641188127393,80.21854272632353,-59.15967498394692,29,58,2.0,1.25
