Ticker,Timeframe,Risk,Reward,Win Rate (%),Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk:Reward Ratio,Profit Factor
AAPL,2hour,1,1,50.427350427350426,1.0386737301440268,-0.06465134736740223,0.8084987467327002,-0.8018843676652603,0.01018916865507872,0.6297093649085038,0.3077756168076709,0.008612351203567598,238.50713028614655,-232.5464666229255,295,585,1.0,1.0256321403192348
AAPL,2hour,2,1,67.24137931034483,0.9787514088721639,-0.052437549387848045,0.6674949732215383,-1.383046572729928,-0.004234153900493732,0.24973089343379978,0.38221354302361005,0.010017115709721589,104.12921582255996,-105.11153952747452,156,232,0.5,0.9906544637312843
AAPL,2hour,3,1,80.13245033112582,1.653987977809881,-0.03221748896667594,0.7462729876159383,-2.1340399089106907,0.1740253922795219,0.32508073196986004,0.5667650292700245,0.012012234309118183,180.59806300305706,-128.04239453464143,242,302,0.3333333333333333,1.410455214145475
AAPL,2hour,4,1,82.35294117647058,1.328199230928722,-0.018065235182918058,0.7923848736873474,-3.0367668750189205,0.11665221215094708,0.29278794402583425,1.042526027909058,0.015527522990506892,177.49421170596582,-145.76481000090817,224,272,0.25,1.2176753202975394
AAPL,2hour,5,1,84.61538461538461,1.2380278451386626,-0.014261597988565666,0.7750172157678221,-3.6794529326032492,0.0897141160184265,0.3091891891891892,1.3394613180887291,0.017147363833500472,187.55416621581296,-161.89592903454297,242,286,0.2,1.1584859936521035
AAPL,2hour,6,1,87.22466960352423,1.2243405401998382,-0.013827952026642387,0.7446817216574169,-4.260959037558505,0.10519457620692443,0.2454054054054054,1.3702719102165992,0.017667839081262317,147.44698088816855,-123.56781208919665,198,227,0.16666666666666666,1.193247484075666
AAPL,2hour,7,1,91.48936170212765,1.5480266520088655,-0.011989474827159636,0.7896284344553022,-4.6835525002561145,0.32382580171390485,0.1525974025974026,1.39803804791272,0.016198739742517596,101.86206804473397,-56.202630003073374,129,141,0.14285714285714285,1.81240749835308
AAPL,2hour,8,1,92.20779220779221,1.3209468902210233,-0.0048525762649393005,0.7811487531478022,-6.579789990372915,0.20756911079553853,0.16979051819184124,3.6937717025800985,0.022370843538002106,110.92312294698792,-78.95747988447499,142,154,0.125,1.4048462933376646
AAPL,2hour,9,1,92.24806201550388,1.164540967999564,-0.004157449272875393,0.9000208718759435,-8.627880660873586,0.16142385383334418,0.1426991150442478,4.422365795686671,0.028311976659815816,107.10248375323728,-86.27880660873586,119,129,0.1111111111111111,1.2413533283896045
AAPL,2hour,10,1,92.14285714285714,1.265817249484513,-0.005891017183009416,0.8298400555040478,-7.218567461309131,0.19746517918301226,0.15069967707212056,3.0598023479133123,0.023424460765046267,107.04936716002216,-79.40424207440043,129,140,0.1,1.3481567780688433
AAPL,2hour,1,2,39.90147783251231,1.7549791845611897,-0.06935886436498763,1.5576019323882198,-0.7911249996480284,0.14605175648466168,0.4370290635091496,0.2672979525384519,0.012235411047743542,252.3315130468916,-193.03449991411892,162,406,2.0,1.30718349911106
AAPL,2hour,2,2,53.333333333333336,1.0581163932136275,-0.047145989828261625,1.383733651706473,-1.424155437027626,0.07338541029722662,0.10022271714922049,0.40864866698542957,0.014636677265739343,66.4192152819107,-59.81452835516029,48,90,1.0,1.1104194433755927
AAPL,2hour,3,2,62.916666666666664,1.2963688515600134,-0.03337754226386848,1.4922613410050298,-2.19328044686045,0.1255395946715813,0.26460859977949286,0.5615932984249534,0.0186100986130803,225.3314624917595,-195.20195977058003,151,240,0.6666666666666666,1.1543504110132425
AAPL,2hour,4,2,68.06282722513089,1.1006820978018774,-0.026162939621203394,1.451987388562293,-2.8676758042325696,0.07240909138697028,0.20559741657696448,0.7367638868267082,0.021003867127636286,188.75836051309807,-174.92822405818674,130,191,0.5,1.0790617782200258
AAPL,2hour,5,2,72.5609756097561,1.0117353910277018,-0.019100572869460215,1.473580579174279,-3.761356134361559,0.037165017533348006,0.18081587651598677,1.0276314725643734,0.024375275453545498,175.35608892173923,-169.26102604627016,119,164,0.4,1.0360098424182003
AAPL,2hour,6,2,77.20588235294117,1.030432612503139,-0.014476654430424157,1.480237275257595,-4.749495497212506,0.06022465800338126,0.14702702702702702,1.339933443406637,0.02738939387541545,155.42491390204748,-147.2343604135877,105,136,0.3333333333333333,1.0556293616887538
AAPL,2hour,7,2,79.84496124031007,1.3628392781457705,-0.011343599942780036,1.6713097155353958,-5.212093285911606,0.28395717260809344,0.14285714285714285,1.5127850383018242,0.029276219168987466,172.1449007001458,-135.51442543370175,103,129,0.2857142857142857,1.2703068337500714
AAPL,2hour,8,2,81.89655172413794,1.2973903545844327,-0.010196694604291687,1.562961297943027,-5.587205153992833,0.2685346126787767,0.1254054054054054,1.698065357956751,0.02927700497452367,148.4813233045876,-117.3313082338495,95,116,0.25,1.2654876651392477
AAPL,2hour,9,2,83.9622641509434,1.292004112643763,-0.007322477523167524,1.6628415639395533,-6.837233924235635,0.2996219101756081,0.11397849462365592,2.3221349392259385,0.033403434308703545,147.99289919062025,-116.23297671200578,89,106,0.2222222222222222,1.2732436471734443
AAPL,2hour,10,2,84.76190476190476,1.3961457070481944,-0.006741042925140784,1.7117471450499262,-7.045468050122179,0.3773143534046529,0.11576626240352811,2.4071729917985323,0.03376227825477901,152.34549590944343,-112.72748880195486,89,105,0.2,1.3514493893950872
AAPL,2hour,1,3,32.16374269005848,1.9541544631912893,-0.05559801312988288,2.4271962315715316,-0.8424596114967698,0.20918408071818081,0.3681377825618945,0.32210070440795835,0.016313553944833234,266.99158547286845,-195.4506298672506,110,342,3.0,1.3660308265786005
AAPL,2hour,2,3,43.712574850299404,1.2567163073449805,-0.05159440538906505,2.1914588452224533,-1.4280857141565506,0.15411041060193603,0.18412348401323042,0.35776933089518326,0.01864902583741778,159.9764957012391,-134.24005713071577,73,167,1.5,1.1917195144327342
AAPL,2hour,3,3,53.96825396825397,1.1429417126420136,-0.03359781003580103,2.1538986515972933,-2.239025239321391,0.13175908276170867,0.1362162162162162,0.5560603251365307,0.022738902428071348,146.46510830861595,-129.86346388064067,68,126,1.0,1.1278392238423125
AAPL,2hour,4,3,64.91228070175438,1.691460287708943,-0.016455412027371413,2.385144165058037,-2.990628591058387,0.49890811028034415,0.12337662337662338,0.9122177477068255,0.027179629279733435,176.50066821429473,-119.6251436423355,74,114,0.75,1.475447910365818
AAPL,2hour,5,3,66.30434782608695,1.1809409676655886,-0.013462558911130702,2.3218904860331815,-3.886886816486869,0.22980248192316471,0.0998914223669924,1.3149041944865731,0.031226044216612302,141.63531964802408,-120.49349131109292,61,92,0.6,1.1754603348851989
AAPL,2hour,6,3,76.66666666666667,1.9866144376262558,-0.009254393998552235,2.376535775324249,-4.332533248996238,0.8110863363161356,0.09750812567713976,1.2847018009713644,0.0300815948841773,163.98096849737317,-90.983198228921,69,90,0.5,1.8023214361489464
AAPL,2hour,7,3,71.91011235955057,0.9872442465362038,-0.009570393020484432,2.3796756331196303,-5.860141741486954,0.06512019081441027,0.10011248593925759,2.0217349538772136,0.039536513857266774,152.29924051965634,-146.50354353717384,64,89,0.42857142857142855,1.039560114674031
AAPL,2hour,8,3,79.16666666666666,1.689055595472517,-0.0061163742431265215,2.669225959474786,-6.265923372106028,0.8077365153954498,0.08098987626546682,1.9492977983556121,0.03898715114253245,152.1458796900628,-93.98885058159041,57,72,0.375,1.6187651912817795
AAPL,2hour,9,3,78.78787878787878,1.5015867776753495,-0.005554687508846074,2.789733762118035,-7.004603558152485,0.7121470578182276,0.07276736493936053,2.318497557478818,0.043027083335359366,145.0661556301378,-98.06444981413478,52,66,0.3333333333333333,1.479294034740287
AAPL,2hour,10,3,80.51948051948052,1.3296706996922087,-0.005253694282150871,2.557754080423705,-8.123046144556627,0.4770787119210427,0.08333333333333333,2.898762673064164,0.04532102217804003,158.58075298626972,-121.8456921683494,62,77,0.3,1.30148838390745
AAPL,2hour,1,4,24.705882352941178,1.5347978498005985,-0.06363634767435541,3.24548608966773,-0.8192758377242016,0.18495946198439306,0.27960526315789475,0.2852207275162405,0.01855299815329204,204.46562364906694,-157.3009608430467,63,255,4.0,1.2998370928775231
AAPL,2hour,2,4,37.95620437956204,1.3295733865847457,-0.05240312833486887,2.8626527917081264,-1.3797818156605248,0.23048533458159107,0.14810810810810812,0.33767347897834943,0.021328696630971693,148.85794516882257,-117.2814543311446,52,137,2.0,1.2692368628762194
