Ticker,Timeframe,Risk,Reward,Win Rate (%),Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk:Reward Ratio,Profit Factor
DIA,4hour,1,1,48.08988764044943,0.9077651075796253,-0.08973197386716936,0.5994673811837439,-0.5933002251842577,-0.01969962347020759,0.5198598130841121,0.22508137695265434,0.006401466372704681,128.28601957332117,-137.05235201756355,214,445,1.0,0.9360366143652977
DIA,4hour,2,1,63.91752577319587,0.90321101070151,-0.05003124801055275,0.5886741848308731,-1.1289790294642057,-0.03109759352302132,0.34114888628370454,0.4059658062286625,0.00880344188889654,109.4933983785424,-118.5427980937416,186,291,0.5,0.9236613285604826
DIA,4hour,3,1,71.36929460580913,0.8582429493450545,-0.034590431585848645,0.5856594186233209,-1.6608540679205344,-0.05753323934981616,0.28154205607476634,0.5948272817132405,0.010815716848031544,100.7334200032112,-114.59893068651688,172,241,0.3333333333333333,0.8790083764286203
DIA,4hour,4,1,76.49769585253456,0.849796700992533,-0.027049565554431578,0.6236319455277117,-2.3115758007497327,-0.06620950636237885,0.25350467289719625,0.7638605145818573,0.013181952093855372,103.52290295760014,-117.89036583823635,166,217,0.25,0.8781286089115156
DIA,4hour,5,1,81.63265306122449,0.9324597508012893,-0.019958914324493534,0.5984752952682021,-2.7996932076434256,-0.02567810322577027,0.22897196261682243,1.0149239935059307,0.014042071963018753,95.75604724291232,-100.7889554751633,160,196,0.2,0.9500648835130431
DIA,4hour,6,1,82.75862068965517,0.895649903831617,-0.016472522265118722,0.6040276739617388,-3.1963357486705624,-0.05120739890589943,0.20616113744075829,1.2452297018589678,0.015427712077330338,86.97998505049038,-95.89007246011688,144,174,0.16666666666666666,0.9070801890015003
DIA,4hour,7,1,87.34177215189874,1.0367957066487794,-0.013581082822340215,0.5736416154657206,-3.6840353550226927,0.03469516350516201,0.18457943925233644,1.4470899428298958,0.015208908894102304,79.16254293426944,-73.68070710045384,138,158,0.14285714285714285,1.0743998809124056
DIA,4hour,8,1,86.57718120805369,0.8802162468127105,-0.014436789312789149,0.5732101451184065,-4.220498633362449,-0.07024069763070159,0.17406542056074767,1.4340035396905968,0.017318437882372004,73.94410872027444,-84.40997266724898,129,149,0.125,0.8760115230906207
DIA,4hour,9,1,88.9763779527559,0.9793914682063729,-0.012882096770717364,0.5657252742349904,-4.579344016073008,-0.0014477183973873788,0.1483644859813084,1.5536661104323726,0.017073664919402296,63.92695598855392,-64.1108162250221,113,127,0.1111111111111111,0.9971321494984114
DIA,4hour,10,1,90.82568807339449,1.0829648177859625,-0.01644090198857135,0.5494845107614925,-4.513581219348475,0.08498306763213774,0.12733644859813084,1.1647882419705793,0.01522892920705969,54.39896656538775,-45.135812193484746,99,109,0.1,1.2052284853586865
