Ticker,Timeframe,Risk,Reward,Win Rate (%),Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk:Reward Ratio,Profit Factor
QQQ,30min,1,1,49.043800123380635,0.9945161265095842,-0.13970882045098457,0.3452192449502502,-0.33159536645981164,0.0003402387659743761,1.6540816326530612,0.14313053068367906,0.003687789970981022,274.4492997354489,-273.8977726958044,795,1621,1.0,1.0020136236750528
QQQ,30min,2,1,67.68115942028986,1.069162887522806,-0.06680361048462462,0.37273970614949403,-0.7456319446348216,0.011294955243838403,0.711340206185567,0.29769424591413035,0.0056559633299414595,174.06944277181373,-166.27592365356523,467,690,0.5,1.046871001808333
QQQ,30min,3,1,75.1131221719457,1.0480696291679483,-0.044984826442877865,0.3179789874828255,-0.9381515843200733,0.005367306717398228,1.35030549898167,0.44340122014595396,0.006028562868286659,316.7070715328942,-309.5900228256242,996,1326,0.3333333333333333,1.0229886242531745
QQQ,30min,4,1,77.4896265560166,0.7529054785492452,-0.03250061802963154,0.32075108394872226,-1.2230791223415287,-0.026770860828232518,0.9968976215098242,0.6236099445802478,0.007273650341881657,239.60105970969553,-265.40816954811174,747,964,0.25,0.9027644481239752
QQQ,30min,5,1,83.28509406657018,0.8975725777429959,-0.02574964116274965,0.2610880342715999,-1.3332794496597613,-0.005408990900718881,1.4188911704312115,0.7788104611732668,0.0069025651097753705,300.51232744661144,-307.9875528714049,1151,1382,0.2,0.9757288067160473
QQQ,30min,6,1,86.29310344827587,0.9344510738409247,-0.021381685533580625,0.24139913698786286,-1.5432008384285525,-0.0032141355045595867,1.1812627291242364,0.9368831715153829,0.007200582054237211,241.6405361248507,-245.36893331013988,1001,1160,0.16666666666666666,0.9848049337991107
QQQ,30min,7,1,88.3082373782108,1.0298714901880195,-0.018858476894761358,0.23850783870235695,-1.7546994218149525,0.0054667772424057915,1.14969450101833,1.0576321904934167,0.007498268705059946,237.7923151862499,-231.62032367957374,997,1129,0.14285714285714285,1.0266470204713753
QQQ,30min,8,1,88.62068965517241,0.8995591949287468,-0.016081556650927132,0.31265109377223665,-2.5489507311057946,-0.012979458713884156,0.5991735537190083,1.2517317212558723,0.010155339206749112,160.70266219892963,-168.23074825298244,514,580,0.125,0.9552514261974737
QQQ,30min,9,1,91.11338100102145,1.2642399481617186,-0.014747471746103281,0.24119216188684117,-2.1658448907202548,0.02728794985740569,0.9969450101832994,1.3376611829507952,0.008075066264839668,215.14340840306235,-188.4285054926622,892,979,0.1111111111111111,1.1417773963687277
QQQ,30min,10,1,91.7381974248927,1.1637159847839205,-0.012907658505345516,0.2281433275116093,-2.292946459056908,0.0198558666041245,0.9500509683995922,1.5340846928789045,0.008355887957248535,195.06254502242592,-176.5568773473819,855,932,0.1,1.104814198988315
