Ticker,Timeframe,Risk,Reward,Win Rate (%),Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk:Reward Ratio,Profit Factor
SPY,2hour,1,1,50.07256894049347,1.0281161879049772,-0.08949833260066942,0.5107309217557233,-0.5011014045163353,0.005549034618440001,0.7456709956709957,0.22284783497370345,0.00552593993412881,176.20216800572456,-172.37888315361937,345,689,1.0,1.0221795430052647
SPY,2hour,2,1,74.19354838709677,1.0863164743711107,-0.07546680923544284,0.6614271783198878,-1.3676194157526749,0.13780225081729108,0.07740324594257178,0.24675718611250513,0.009191028943115602,30.425650202714845,-21.881910652042798,46,62,0.5,1.3904476024297467
SPY,2hour,3,1,78.04295942720763,1.3374829477140084,-0.03301765630322086,0.4659196885809415,-1.324673529668711,0.07275840915619675,0.4539544962080173,0.5837003005739695,0.008143226763372976,152.3557381659679,-121.86996472952143,327,419,0.3333333333333333,1.2501500144363435
SPY,2hour,4,1,78.47222222222221,0.9650745091038361,-0.027606612798532635,0.5082034845115235,-1.8647155151382484,-0.002633244579746908,0.46803900325027087,0.7254179493857328,0.01053079393144372,172.28098124940647,-173.41854290785713,339,432,0.25,0.9934403689514616
SPY,2hour,5,1,85.22427440633246,1.2744026815524019,-0.023983492494741167,0.48664423349109276,-2.334497139587705,0.06980012559554473,0.40796555435952636,0.8048035017534197,0.010705718530410076,157.18608741762296,-130.7318398169115,323,379,0.2,1.2023550470777458
SPY,2hour,6,1,84.97267759562843,0.9233246551104077,-0.020328807124668797,0.4600567499221019,-2.69702799693679,-0.014368553567622257,0.3939720129171152,0.9908936324764511,0.012088434813220545,143.07764922577368,-148.33653983152345,311,366,0.16666666666666666,0.9645475712745984
SPY,2hour,7,1,87.67908309455588,1.096054609065442,-0.017251649075977406,0.47590619497513015,-3.1073775489844047,0.034412782395588565,0.3756727664155005,1.1393619293714097,0.01262986538788038,145.6272956623898,-133.61723460632942,306,349,0.14285714285714285,1.0898840714032518
SPY,2hour,8,1,88.92405063291139,1.0138601852334663,-0.014405201837390785,0.4686717614243592,-3.6347384445275694,0.014180124689177162,0.3401506996770721,1.3785435967695643,0.013852065275528824,131.6967649602449,-127.21584555846492,281,316,0.125,1.035222965992241
SPY,2hour,9,1,90.04149377593362,0.9422699609928925,-0.012167398378167323,0.4470592549590335,-4.174375046603272,-0.013166567603187742,0.26483516483516484,1.6545579465989464,0.01495740624533096,97.01185832611027,-100.18500111847852,217,241,0.1111111111111111,0.9683271671713044
SPY,2hour,10,1,91.4179104477612,1.0714199310048111,-0.012654131138897554,0.44718557552648674,-4.340624593662742,0.03629141921547084,0.2884822389666308,1.5518320137747603,0.014318680284888632,109.56046600398925,-99.83436565424307,245,268,0.1,1.097422368399982
