Ticker,Timeframe,Risk,Reward,Win Rate (%),Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk:Reward Ratio,Profit Factor
SPY,4hour,1,1,49.863760217983646,0.9451796719288486,-0.06782956441044871,0.6724606599783293,-0.6938699728712632,-0.012566142322283907,0.42923976608187137,0.2967092830117395,0.007487197878552875,123.06030077603425,-127.67207500831242,183,367,1.0,0.9638779722818956
SPY,4hour,2,1,64.15929203539822,0.9033539324098566,-0.03810406157260486,0.6565328607893316,-1.2862106162153442,-0.03976015530526464,0.2652582159624413,0.5353130535490637,0.010197510663718894,95.19726481445309,-104.18305991344288,145,226,0.5,0.9137499406673663
SPY,4hour,3,1,71.81818181818181,0.8612906839658917,-0.02910682312107829,0.6395588941907078,-1.844605558634903,-0.06052381524196419,0.2573099415204678,0.7079177987479487,0.012073219309803833,101.05030528213183,-114.36554463536399,158,220,0.3333333333333333,0.8835729817430097
SPY,4hour,4,1,75.47169811320755,0.7955132584055438,-0.022632721336530638,0.7423916095694877,-2.8156601448122003,-0.13033806603356773,0.18683901292596944,0.9412646558746199,0.01631443266460518,89.08699314833854,-109.81074564767582,120,159,0.25,0.8112775541491288
SPY,4hour,5,1,85.22727272727273,1.1861327659058052,-0.016871386846989262,0.6632130319284429,-3.0988148835036906,0.10745890805778685,0.20681551116333724,1.121746012409135,0.014336766259889987,99.48195478926645,-80.56918697109595,150,176,0.2,1.2347394646660073
SPY,4hour,6,1,85.1063829787234,0.9697875946325546,-0.014699982936539296,0.6964702906613668,-4.016725506017163,-0.005495040758840041,0.16568742655699178,1.3642839242852745,0.017858292401378963,83.57643487936402,-84.35123562636045,120,141,0.16666666666666666,0.9908145892440928
SPY,4hour,7,1,87.89808917197452,1.0851142424089488,-0.011585645432095743,0.6610374657866838,-4.245060552669854,0.06730585845754858,0.18427230046948356,1.6681799498095324,0.01725893236736307,91.22317027856236,-80.65615050072724,138,157,0.14285714285714285,1.1310131925740723
SPY,4hour,8,1,89.57055214723927,1.1412184998443273,-0.011380034511827722,0.6448846685411621,-4.615297136384517,0.09627675023602979,0.19064327485380117,1.6728624573021769,0.017205234091961136,94.15316160700966,-78.4600513185368,146,163,0.125,1.2000140201892175
SPY,4hour,9,1,90.66666666666666,1.1017177404634713,-0.010018816152533463,0.6460138582434816,-5.388680529408658,0.08277571539594843,0.17543859649122806,1.9136235812843436,0.018759832423516518,87.85788472111349,-75.44152741172122,136,150,0.1111111111111111,1.1645825281562785
SPY,4hour,10,1,93.33333333333333,1.3864089818313134,-0.008804668933390736,0.675988607497825,-5.9519972148125415,0.23412288601046732,0.17921146953405018,2.005614438599319,0.017612285838395227,94.63840504969549,-59.51997214812541,140,150,0.1,1.5900277106006029
SPY,4hour,1,2,36.12040133779264,1.233970288813103,-0.07146941921972841,1.4440346350183597,-0.696755165732156,0.07650670209746152,0.3497076023391813,0.2691351516358171,0.011164320979967758,155.95574058198284,-133.0802366548418,108,299,2.0,1.1718925702429517
